E,f,n,ExecutionTime,cpp,max_cap
95,8,30,3.54999999999995,0,4
95,8,30,0.200000000000045,1,4
100,11,30,0,0,4
100,11,30,0,1,4
85,5,30,0.149999999999977,0,3
85,5,30,0.0200000000000955,1,3
62,1,30,0.0299999999999727,0,3
62,1,30,0,1,3
67,4,30,0,0,3
67,4,30,0,1,3
88,3,30,0.809999999999945,0,3
88,3,30,0.0400000000000773,1,3
79,0,30,0.209999999999923,0,3
79,0,30,0.0100000000001046,1,3
60,1,30,0,0,3
60,1,30,0,1,3
81,2,30,0.5,0,3
81,2,30,0.00999999999999091,1,3
94,3,30,0,0,3
94,3,30,0,1,3
97,9,30,0,0,3
97,9,30,0,1,3
84,1,30,0,0,3
84,1,30,0,1,3
68,1,30,0,0,3
68,1,30,0,1,3
74,0,30,0,0,3
74,0,30,0,1,3
91,3,30,0.220000000000027,0,3
91,3,30,0.0199999999999818,1,3
79,6,30,0,0,3
79,6,30,0,1,3
79,3,30,0.0399999999999636,0,3
79,3,30,0.0200000000000955,1,3
76,0,30,0.110000000000014,0,3
76,0,30,0,1,3
80,6,30,0.190000000000055,0,3
80,6,30,0.00999999999999091,1,3
79,3,30,0.0399999999999636,0,3
79,3,30,0,1,3
77,1,30,0.279999999999973,0,3
77,1,30,0,1,3
73,1,30,0,0,3
73,1,30,0,1,3
64,0,30,0,0,3
64,0,30,0,1,3
76,2,30,0,0,3
76,2,30,0,1,3
78,2,30,0,0,3
78,2,30,0,1,3
84,1,30,0,0,3
84,1,30,0,1,3
74,4,30,0.0199999999999818,0,3
74,4,30,0,1,3
77,3,30,0,0,3
77,3,30,0,1,3
70,0,30,0.00999999999999091,0,3
70,0,30,0,1,3
81,4,30,0.07000000000005,0,3
81,4,30,0,1,3
73,6,30,0.0199999999999818,0,3
73,6,30,0,1,3
82,4,30,0,0,3
82,4,30,0,1,3
74,0,30,0.0600000000000591,0,3
74,0,30,0,1,3
80,4,30,0,0,3
80,4,30,0,1,3
71,1,30,0,0,3
71,1,30,0,1,3
88,4,30,0.0199999999999818,0,3
88,4,30,0,1,3
72,1,30,0,0,3
72,1,30,0,1,3
79,5,30,0.850000000000023,0,3
79,5,30,0.0499999999999545,1,3
89,3,30,2.60000000000002,0,3
89,3,30,0.169999999999959,1,3
73,0,30,0.00999999999999091,0,3
73,0,30,0,1,3
74,3,30,0,0,3
74,3,30,0,1,3
70,0,30,0,0,3
70,0,30,0,1,3
77,2,30,0.199999999999932,0,3
77,2,30,0,1,3
76,3,30,0.0199999999999818,0,3
76,3,30,0,1,3
89,1,30,0.259999999999991,0,3
89,1,30,0.0200000000000955,1,3
86,2,30,0,0,3
86,2,30,0,1,3
96,12,30,4.02999999999997,0,3
96,12,30,0.220000000000027,1,3
77,7,30,0,0,3
77,7,30,0,1,3
81,7,30,0.0199999999999818,0,3
81,7,30,0,1,3
78,6,30,0,0,3
78,6,30,0,1,3
71,5,30,0,0,3
71,5,30,0,1,3
78,0,30,0,0,3
78,0,30,0,1,3
95,3,30,8.38,0,3
95,3,30,0.450000000000045,1,3
83,0,30,0,0,3
83,0,30,0,1,3
87,4,30,0,0,3
87,4,30,0,1,3
88,4,30,0.959999999999923,0,3
88,4,30,0.0400000000000773,1,3
89,0,30,0,0,3
89,0,30,0,1,3
94,5,30,0.279999999999973,0,3
94,5,30,0.0199999999999818,1,3
84,1,30,1.78000000000009,0,3
84,1,30,0.0899999999999181,1,3
91,6,30,2.81000000000006,0,3
91,6,30,0.159999999999968,1,3
71,0,30,0,0,3
71,0,30,0,1,3
80,3,30,0,0,3
80,3,30,0,1,3
68,3,30,0,0,3
68,3,30,0,1,3
79,5,30,0.0600000000000591,0,3
79,5,30,0,1,3
72,1,30,0,0,3
72,1,30,0,1,3
90,4,30,10.46,0,3
90,4,30,0.639999999999986,1,3
78,4,30,0,0,3
78,4,30,0,1,3
89,2,30,1.23000000000002,0,5
89,2,30,0.0800000000000409,1,5
65,0,30,0,0,5
65,0,30,0,1,5
96,7,30,27.4299999999999,0,5
96,7,30,1.53999999999996,1,5
101,4,30,148.28,0,5
101,4,30,7.02999999999997,1,5
74,0,30,0.169999999999959,0,5
74,0,30,0.0200000000000955,1,5
88,8,30,0,0,5
88,8,30,0,1,5
88,7,30,0,0,5
88,7,30,0,1,5
71,6,30,0,0,5
71,6,30,0,1,5
74,6,30,0.279999999999973,0,5
74,6,30,0,1,5
71,7,30,0,0,5
71,7,30,0,1,5
78,4,30,0,0,5
78,4,30,0,1,5
97,0,30,6.03000000000009,0,5
97,0,30,0.349999999999909,1,5
72,12,30,0.360000000000014,0,5
72,12,30,0.00999999999999091,1,5
65,1,30,0.0500000000000682,0,5
65,1,30,0,1,5
98,14,30,0,0,5
98,14,30,0,1,5
78,3,30,0,0,5
78,3,30,0,1,5
68,7,30,0,0,5
68,7,30,0,1,5
71,9,30,0.0199999999999818,0,5
71,9,30,0,1,5
81,11,30,0,0,5
81,11,30,0,1,5
79,5,30,0,0,5
79,5,30,0,1,5
80,8,30,0,0,5
80,8,30,0,1,5
100,9,30,18.14,0,5
100,9,30,0.950000000000045,1,5
78,0,30,0,0,5
78,0,30,0,1,5
93,3,30,11.73,0,5
93,3,30,0.590000000000032,1,5
74,5,30,0,0,5
74,5,30,0,1,5
77,3,30,0,0,5
77,3,30,0,1,5
78,6,30,0,0,5
78,6,30,0,1,5
90,11,30,0.00999999999999091,0,5
90,11,30,0,1,5
91,8,30,0,0,5
91,8,30,0,1,5
70,2,30,0.0199999999999818,0,5
70,2,30,0,1,5
76,1,30,0,0,5
76,1,30,0,1,5
75,6,30,0,0,5
75,6,30,0,1,5
92,11,30,1.08999999999992,0,5
92,11,30,0.0600000000000591,1,5
82,3,30,0.490000000000009,0,5
82,3,30,0.00999999999999091,1,5
77,0,30,0,0,5
77,0,30,0,1,5
95,9,30,0.0199999999999818,0,5
95,9,30,0,1,5
68,7,30,0,0,5
68,7,30,0,1,5
81,5,30,0,0,5
81,5,30,0,1,5
64,0,30,0,0,5
64,0,30,0,1,5
77,6,30,0.180000000000064,0,5
77,6,30,0,1,5
77,5,30,0.0199999999999818,0,5
77,5,30,0,1,5
85,0,30,0,0,5
85,0,30,0,1,5
83,11,30,1.09000000000003,0,5
83,11,30,0.0799999999999272,1,5
88,6,30,0.0800000000000409,0,5
88,6,30,0,1,5
71,3,30,0,0,5
71,3,30,0,1,5
75,0,30,0.0199999999999818,0,5
75,0,30,0,1,5
90,2,30,9.03000000000009,0,5
90,2,30,0.509999999999991,1,5
77,6,30,0,0,5
77,6,30,0,1,5
78,3,30,0,0,5
78,3,30,0,1,5
79,8,30,0,0,5
79,8,30,0,1,5
